question_no,subject_no,subject_name,question_type,question_text,correct_choice_no,has_media,media_paths,explanation,source_type
81,5,정보시스템 구축관리,MULTIPLE_CHOICE,소프트웨어 생명주기 모델 중 나선형 모델(Spiral Model)과 관련한 설명으로 틀린 것은??,2,False,,점진적으로 개발 과정이 반복되므로 위험분석 또한 계획 수립 이후 추가적인 위험 분석이 가능함 [해설작성자 : 김라마],USER_IMPORTED_HWP
82,5,정보시스템 구축관리,MULTIPLE_CHOICE,정보시스템과 관련한 다음 설명에 해당하는 것은? [이미지 자료 참조],1,True,media/q082_media_1.gif,"고가용성 솔루션(HACMP:High Availability Cluster Multi Processing) - AIX를 기반으로 한 IBM의 High Availability Solution - Resource의 중복 또는 공유를 통해 Application의 보호를 가능하게 해줌 - 같은 Data를 공유하거나 동시에 access하는 node들에서 여러 개의 application을 실행하게 해줌 - 두대 이상의 시스템을 하나의 Cluster로 묶어 Cluster내의 한 시스템에서 장애가 발생할 경우 다른 시스템이 장애가 발생한 시스템의 자원을 인수할 수 있도록 하여 서비스의 중단을 최소화 할 수 있도록 도와주는 솔루션 점대점 연결 방식(Point-to-Point Mode) - 네트워크에 있어 물리적으로는 중개 장치를 통과하지 않고 한 지점에서 다른 지점으로 직접 가는 채널 - 두 스테이션간을 별도의 회선을 사용하여 1 대 1로 연결. - 전용회선이나 공중 전화 회선을 이용. - 회선 구성이 간단하고 대용량 전송에 유리. - 별도의 회선과 포트에 따른 높은 설치비용 스턱스넷(Stuxnet) - 2010년 6월에 발견된 웜 바이러스 - 윈도우를 통해 감염, 지맨스산업의 SW 및 장비를 공격 루팅(Rooting) - 모바일 기기에서 구동되는 안드로이드 운영체제상에서 최상위 권한 (루트 권한)을 얻음으로 해당 기기의 생산자 또는 판매자 측에서 걸어 놓은 제약을 해제하는 행위 [해설작성자 : 강썬]",USER_IMPORTED_HWP
83,5,정보시스템 구축관리,MULTIPLE_CHOICE,"위조된 매체 접근 제어(MAC) 주소를 지속적으로 네트워크로 흘려보내, 스위치 MAC 주소 테이블의 저장 기능을 혼란시켜 더미 허브(Dummy Hub)처럼 작동하게 하는 공격은?",3,False,,"- Parsing - 하나의 프로그램을 런타임 환경(예를 들면, 브라우저 내 자바스크립트 엔진)이 실제로 실행할 수 있는 내부 포맷으로 분석하고 변환하는 것을 의미함 - LAN Tapping - 처음 들어보는 용어이고, 찾아도 제대로된 정의가 나오지 않으나 Lan+Tapping으로 해석한다면 LAN신호를 직접 자신에게 끌어오는 방식의 공격정도로 해석 가능함 - Switch Jamming - 스위치의 기능이 방해 받아 정상 동작을 하지 못해 스위치가 더미 허브처럼 작동 하게 되는 것 - Switch + Jamming(방해) - FTP(SYN) Flooding - TCP의 3 Way Handshake 취약점을 이용한 DoS 공격으로 다량의 SYN패킷을 보내 백로그큐를 가득 채우는 공격 - 통상적으로 위의 공격법을 TCP SYN Flooding 이라고 칭하는 경우가 많음 - FTP프로토콜을 사용한 서버에 다량의 SYN 패킷을 보내 마비시키는것을 FTP Flooding이라고 볼 수 있음. [해설작성자 : 강썬]",USER_IMPORTED_HWP
84,5,정보시스템 구축관리,MULTIPLE_CHOICE,다음 내용이 설명하는 스토리지 시스템은? [이미지 자료 참조],1,True,media/q084_media_1.gif,"직접 연결 저장장치(Direct-attached storage,DAS) Network Attached Storage. 네트워크 결합 스토리지 근거리 무선 통신(NFC) [해설작성자 : 58]",USER_IMPORTED_HWP
85,5,정보시스템 구축관리,MULTIPLE_CHOICE,취약점 관리를 위해 일반적으로 수행하는 작업이 아닌 것은?,3,False,,"중단된 프로세스와 닫힌 포트가 아니라, 활성화된 프로세스와 열린 포트를 중심으로 확인해야 취약점이 관리될 수 있음. [해설작성자 : 동차합격가즈아]",USER_IMPORTED_HWP
86,5,정보시스템 구축관리,MULTIPLE_CHOICE,소프트웨어 생명주기 모델 중 V 모델과 관련한 설명으로 틀린 것은?,1,False,,"V 모델(V-model)은 소프트웨어 개발 프로세스로 폭포수 모델의 확장된 형태 중 하나로 볼 수 있다..아래 방향으로 선형적으로 내려가면서 진행되는 폭포수 모델과 달리, 이 프로세스는 오른쪽 그림과 같이 코딩 단계에서 위쪽으로 꺾여서 알파벳 V자 모양으로 진행된다 검증(Verification)단계",USER_IMPORTED_HWP
87,5,정보시스템 구축관리,MULTIPLE_CHOICE,블루투스(Bluetooth) 공격과 해당 공격에 대한 설명이 올바르게 연결된 것은?,3,False,,블루버그: 블루투스 장비사이의 취약한 연결 관리를 악용한 공격 블루스나프(블루스나핑): 블루투스의 취약점을 활용하여 장비의 파일에 접근하는 공격으로 OPP를 사용하여 정보를 열람 블루재킹: 블루투스를 이용해 스팸처럼 명함을 익명으로 퍼뜨리는 것 *OPP(Obex Push Protocol)- 블루투스 장치끼리 인증 없이 정보를 간편하게 교환하기 위하여 개발됨 [해설작성자 : 호랑해],USER_IMPORTED_HWP
88,5,정보시스템 구축관리,MULTIPLE_CHOICE,DoS(Denial of Service) 공격과 관련한 내용으로 틀린 것은?,2,False,,멀티캐스트 x 브로드캐스트 o [해설작성자 : 토킹포테이토],USER_IMPORTED_HWP
89,5,정보시스템 구축관리,MULTIPLE_CHOICE,다음 설명에 해당하는 시스템은? [이미지 자료 참조],3,True,media/q089_media_1.gif,"Hadoop(하둡): 오픈 소스를 기반으로한 분산 컴퓨팅 플랫폼, 대형 스토리지, 빅데이터 관련 MapReduce : 대용량 데이터를 분산처리하기 위한 목적으로 개발된 프로그래밍 모델 구글에 의해 고안 임의의 순서로 분산 처리후 다시 합침 [해설작성자 : 부실합니다 보충해 주세요] Apache : 월드 와이드 웹 컨소시엄(W3C)에서 사용하고 아파치 소프트웨어 재단에서 관리 및 운영하는 서버용 오픈소스 소프트웨어 Hadoop : 오픈 소스를 기반으로 한 분산 컴퓨팅 플랫폼 MapReduce : 대용량 데이터를 분산 처리하기 위한 목적으로 Google에 의해 고안된 프로그래밍 모델 [해설작성자 : 일요일 시험이당]",USER_IMPORTED_HWP
90,5,정보시스템 구축관리,MULTIPLE_CHOICE,다음이 설명하는 IT 기술은? [이미지 자료 참조],2,True,media/q090_media_1.gif,"- StackGuard - Stack 상에 일정한 주소번지에 프로그램이 선언한 canary를 심어 두어, 스택의 변조 된 경우에, canary를 체크하여 프로그램이 비정상적으로 종료 시키는 기법 - Docker - 컨테이너 응용프로그램의 배포를 자동화 하는 오픈소스 엔진 - SW 컨터에이너 안의 응용 프로그램들을 배치시키는 일을 자동화해 주는 오픈소스 프로젝트 이자 소프트웨어 - Cipher Container - 자바에서 암호화 복호화 기능을 제공하는 컨테이너 - Scytale - 암호화 기법으로 단순하게 문자열의 위치를 바꾸는 방법 [해설작성자 : 강썬]",USER_IMPORTED_HWP
91,5,정보시스템 구축관리,MULTIPLE_CHOICE,간트 차트(Gantt Chart)에 대한 설명으로 틀린 것은?,4,False,,인원 수 (X) 기간 (O) [해설작성자 : 정처기 공부],USER_IMPORTED_HWP
92,5,정보시스템 구축관리,MULTIPLE_CHOICE,Python 기반의 웹 크롤링(Web Crawling) 프레임워크로 옳은 것은?,2,False,,"- Li-fi - 스펙트럼의 빛을 이용한 5세대 이동 통신 기술 - Scrapy - 파이썬 기반의 웹크롤러 프레임 워크 - 가볍고 빠르고 확장성이 좋음 - SBAS(위성항법보강시스템) - GPS의 오차를 보정해 신뢰성과 안정성을 높인 기법 [해설작성자 : 강썬] CrawlCat : 구글에서 개발한 웹 크롤링 도구로, 웹사이트를 탐색하고 페이지의 구조와 링크를 파악하여 데이터를 수집함. [해설작성자 : 백엔드 개발자 호소인]",USER_IMPORTED_HWP
93,5,정보시스템 구축관리,MULTIPLE_CHOICE,Secure 코딩에서 입력 데이터의 보안 약점과 관련한 설명으로 틀린 것은?,4,False,,자원 삽입 : 자원을 조작 할 수 있는 문자열을 삽입하여 시스템이 보호하는 자원에 임의로 접근 할 수 있는 취약점 [해설작성자 : 정처기 공부],USER_IMPORTED_HWP
94,5,정보시스템 구축관리,MULTIPLE_CHOICE,Windows 파일 시스템인 FAT와 비교했을 때의 NTFS의 특징이 아닌 것은?,1,False,,"- FAT - DOS때부터 사용되던 윈도우의 파일시스템 - 저용량에 적합, 호환성이 좋음, 저장가능한 파일의 최대크기가 4GB - NTFS - FAT시스템을 대체하기 위해 개발된 윈도우 파일 시스템 - 사용자마다 다른 보안 적용 가능 즉 보안이 FAT보다 뛰어남 - 대용량 저장 가능 및 안정성이 뛰어남 [해설작성자 : 강썬]",USER_IMPORTED_HWP
95,5,정보시스템 구축관리,MULTIPLE_CHOICE,DES는 몇 비트의 암호화 알고리즘인가?,3,False,,"DES의 키는 7비트마다 오류 검출을 위한 정보가 1비트씩 들어가기 때문에 실질적으로는 56비트이다. 추가적으로 AES는 암호화 알고리즘은 AES-128, AES-192, AES-256로 나뉘어지며 숫자는 비트수 이다. [해설작성자 : 구구구구] DES는 블록크기는 64bit 이고 키 길이가 56비트이다. [해설작성자 : 이직 하고 싶다]",USER_IMPORTED_HWP
96,5,정보시스템 구축관리,MULTIPLE_CHOICE,리눅스에서 생성된 파일 권한이 644일 경우 umask 값은?,1,False,,"파일 생성 권한 666에서 644를 빼면 022 [해설작성자 : 정처기 공부] umask는 UNIX에서 파일이나 디렉터리의 초기 권한을 설정할 때 사용하는 값으로 파일의 경우 666에서 umask를 뺀 값을, 디렉터리일 경우 777에서 umask를 뺀 값을 초기 접근 권한으로 갖습니다 [해설작성자 : ums]",USER_IMPORTED_HWP
97,5,정보시스템 구축관리,MULTIPLE_CHOICE,다음 내용이 설명하는 로그 파일은? [이미지 자료 참조],4,True,media/q097_media_1.gif,"wtmp - 성공한 로그인/로그아웃 정보를 담고 있는 로그파일 - var/log/wtmp에 위치 - last 명령어 사용 1,2,3 전부 없는 명령어이다.. 이밖에 참고로 utmp - 현재 로그인 사용자 상태 정보를 담고 있는 로그파일 btmp - 실패한 로그인 정보를 담고 있는 로그파일 last log - 마지막으로 성공한 로그인 정보를 담고있는 로그파일 [해설작성자 : 윤정훈]",USER_IMPORTED_HWP
98,5,정보시스템 구축관리,MULTIPLE_CHOICE,상향식 비용 산정 기법 중 LOC(원시 코드 라인 수) 기법에서 예측치를 구하기 위해 사용하는 항목이 아닌 것은?,4,False,,"LOC 예측치를 구하기 위해서는 낙관치, 비관치, 기대치가 필요하다. [해설작성자 : 한번에제발] 예측치 = (낙관치+비관치+기대치*4)/6 [해설작성자 : 이직마려움]",USER_IMPORTED_HWP
99,5,정보시스템 구축관리,MULTIPLE_CHOICE,"OSI 7 Layer 전 계층의 프로토콜과 패킷 내부의 콘텐츠를 파악하여 침입 시도, 해킹 등을 탐지하고 트래픽을 조정하기 위한 패킷 분석 기술은?",4,False,,"- PLCP(Physical Layer Convergence Procedure : 물리계층 수렴 처리) - 논리적인 802.11 MAC 부계층과 물리적인 특성을 연결하는 역할 - 802.11 MAC 부계층이 물리적 특성에 관계없이 동작하도록 함 - Traffic Distributor - 네트워크 통신 간에 트래픽을 분배해주는 솔루션 - DPI - 네트워크에서 전송되는 패킷의 헤더와 페이로드 내 정보를 분석하는 컨텐츠 내용 분석 기술 - 네트워크 보안, 관리, 컨텐츠 관리 등이 목적 *단어의 정의를 몰라도 하나씩 뜯어보면 Deep(내부) Packet Inspection(분석)으로 유추 가능 [해설작성자 : 강썬]",USER_IMPORTED_HWP
100,5,정보시스템 구축관리,MULTIPLE_CHOICE,소프트웨어 개발 방법론의 테일러링(Tailoring)과 관련한 설명으로 틀린 것은?,1,False,,"테일러링 (Tailoring) : 프로젝트 상황 특성에 맞게 정의된 소프트웨어 개발 방법론 절차, 사용기법 등을 수정 및 보완하는 작업 [해설작성자 : 땅혁]",USER_IMPORTED_HWP
